trialnum,username,chart,actualresponse,userresponse,actualerror,actualerror,logerror(+1/8),logerror
3,user1616185358848,barAnim,96,98,2,2.125,1.087462841,1.087462841
4,user1616185358848,pie,35,38,3,3.125,1.64385619,1.64385619
5,user1616185358848,barAnim,78,82,4,4.125,2.044394119,2.044394119
6,user1616185358848,pie,64,65,1,1.125,0.1699250014,0.1699250014
7,user1616185358848,line,22,50,28,28.125,4.813781191,4.813781191
8,user1616185358848,bar,75,90,15,15.125,3.918863237,3.918863237
9,user1616185358848,bar,19,20,1,1.125,0.1699250014,0.1699250014
10,user1616185358848,line,13,27,14,14.125,3.820178962,3.820178962
11,user1616185358848,lineAnim,36,45,9,9.125,3.189824559,3.189824559
12,user1616185358848,line,40,68,28,28.125,4.813781191,4.813781191
13,user1616185358848,pie,19,20,1,1.125,0.1699250014,0.1699250014
14,user1616185358848,bar,82,82,0,0.125,-3,0
15,user1616185358848,lineAnim,74,72,2,2.125,1.087462841,1.087462841
16,user1616185358848,barAnim,54,58,4,4.125,2.044394119,2.044394119
17,user1616185358848,pie,90,100,10,10.125,3.339850003,3.339850003
18,user1616185358848,lineAnim,79,80,1,1.125,0.1699250014,0.1699250014
19,user1616185358848,pieAnim,21,17,4,4.125,2.044394119,2.044394119
20,user1616185358848,barAnim,56,65,9,9.125,3.189824559,3.189824559
21,user1616185358848,pieAnim,10,8,2,2.125,1.087462841,1.087462841
22,user1616185358848,pieAnim,82,78,4,4.125,2.044394119,2.044394119
23,user1616185358848,bar,15,23,8,8.125,3.022367813,3.022367813
24,user1616185358848,lineAnim,21,25,4,4.125,2.044394119,2.044394119
