username,chart,actualresponse,userresponse
user1616169032359,pieAnim,53,50
user1616169032359,bar,47,50
user1616169032359,line,36,35
user1616169032359,pieAnim,85,90
user1616169032359,bar,26,30
user1616169203397,line,6,25
user1616169203397,bar,92,10
user1616169203397,barAnim,59,50
user1616169203397,bar,30,20
user1616169203397,lineAnim,78,10
user1616169203397,bar,25,20
user1616169203397,bar,26,20
user1616169203397,barAnim,78,10
user1616169203397,pieAnim,38,50
user1616169203397,pie,83,10
user1616169203397,lineAnim,17,70
user1616169203397,lineAnim,54,10
user1616169203397,line,75,10
user1616169203397,barAnim,86,10
user1616169203397,pie,52,25
user1616169203397,line,81,20
user1616169203397,pieAnim,80,10
user1616169203397,pieAnim,71,90
user1616169203397,lineAnim,91,80
user1616169203397,barAnim,64,60
user1616169203397,pie,65,70
user1616169203397,pie,62,50
user1616169203397,pieAnim,66,50
user1616169203397,line,36,45
user1616169200343,lineAnim,36,30
user1616169200343,pie,62,50
user1616169200343,line,45,30
user1616169200343,lineAnim,33,20
user1616169200343,bar,15,10
user1616169200343,barAnim,56,50
user1616169200343,bar,20,20
user1616169200343,pieAnim,73,50
user1616169200343,lineAnim,85,60
user1616169200343,pieAnim,74,40
user1616169200343,barAnim,6,5
user1616169200343,pieAnim,57,20
user1616169200343,bar,60,60
user1616169200343,pie,97,100
user1616169200343,line,39,40
user1616169200343,line,32,15
user1616169200343,pie,90,80
user1616169200343,barAnim,69,70
user1616169200343,bar,63,95
user1616169200343,barAnim,27,70
user1616169200343,pie,89,100
user1616169200343,line,27,20
user1616169200343,pieAnim,73,70
user1616169200343,lineAnim,71,80
user1616169581711,line,11,20
user1616169581711,bar,19,37
user1616169581711,bar,95,90
user1616169581711,line,20,14
user1616169581711,line,12,14
user1616169581711,pie,58,60
user1616169581711,line,43,57
user1616169581711,pieAnim,20,30
user1616169581711,lineAnim,74,81
user1616169581711,pieAnim,96,100
user1616169581711,lineAnim,41,30
user1616169581711,bar,64,66
user1616169581711,lineAnim,42,44
user1616169581711,pieAnim,50,60
