,trialnum,username,chart,actualresponse,userresponse,actualerror,actualerror.1,logerror(+1/8),logerror
716,21,user1616173095007,line,5,5.0,0.0,0.125,-3.0,0.0
720,1,user1616174032126,line,77,60.0,17.0,17.125,4.098032083,4.098032083
721,2,user1616174032126,line,53,60.0,7.0,7.125,2.832890014,2.832890014
724,5,user1616174032126,line,54,30.0,24.0,24.125,4.592457037,4.592457037
735,16,user1616174032126,line,44,10.0,34.0,34.125,5.092757141,5.092757141
754,11,user1616175660638,line,37,33.0,4.0,4.125,2.044394119,2.044394119
755,12,user1616175660638,line,55,50.0,5.0,5.125,2.357552005,2.357552005
759,16,user1616175660638,line,90,95.0,5.0,5.125,2.357552005,2.357552005
762,19,user1616175660638,line,75,80.0,5.0,5.125,2.357552005,2.357552005
771,4,user1616179906757,line,55,60.0,5.0,5.125,2.357552005,2.357552005
778,11,user1616179906757,line,34,30.0,4.0,4.125,2.044394119,2.044394119
784,17,user1616179906757,line,81,80.0,1.0,1.125,0.1699250014,0.1699250014
791,24,user1616179906757,line,66,85.0,19.0,19.125,4.257387843,4.257387843
793,2,user1616185358848,line,86,95.0,9.0,9.125,3.189824559,3.189824559
798,7,user1616185358848,line,22,50.0,28.0,28.125,4.813781191,4.813781191
801,10,user1616185358848,line,13,27.0,14.0,14.125,3.820178962,3.820178962
803,12,user1616185358848,line,40,68.0,28.0,28.125,4.813781191,4.813781191
