_id,reportedPercent,truePercent,visType
60536280c4e37914bcf86a87,25,0.261015722,Type1
60536299c4e37914bcf86a88,75,0.825404185,Type4
605362acc4e37914bcf86a89,25,0.316227766,Type2
605362bcc4e37914bcf86a8a,30,0.316227766,Type5
605362d1c4e37914bcf86a8b,30,0.316227766,Type1
605362e1c4e37914bcf86a8c,20,0.261015722,Type3
605362ecc4e37914bcf86a8d,30,0.316227766,Type3
60536303c4e37914bcf86a8e,20,0.215443469,Type4
6053630ac4e37914bcf86a8f,30,0.316227766,Type1
60536313c4e37914bcf86a90,50,0.464158883,Type3
60536323c4e37914bcf86a91,20,0.261015722,Type4
6053632bc4e37914bcf86a92,30,0.316227766,Type4
6053633ac4e37914bcf86a93,20,0.215443469,Type1
60536345c4e37914bcf86a94,75,0.825404185,Type3
60536351c4e37914bcf86a95,40,0.383118685,Type3
60536363c4e37914bcf86a96,20,0.215443469,Type2
60536379c4e37914bcf86a97,20,0.215443469,Type3
60536387c4e37914bcf86a98,80,0.562341325,Type1
60536395c4e37914bcf86a99,40,0.383118685,Type1
605363a2c4e37914bcf86a9a,35,0.383118685,Type4
605363b3c4e37914bcf86a9b,30,0.383118685,Type2
605363bcc4e37914bcf86a9c,50,0.562341325,Type5
605363c3c4e37914bcf86a9d,20,0.215443469,Type5
605363dec4e37914bcf86a9e,25,0.257417818,Type6
605363f1c4e37914bcf86a9f,40,0.403894057,Type7
60536403c4e37914bcf86aa0,35,0.273144388,Type7
6053640bc4e37914bcf86aa1,25,0.227247497,Type6
60536417c4e37914bcf86aa2,20,0.312488159,Type7
605364c4c4e37914bcf86aa3,18,0.206288637,Type7
605364d1c4e37914bcf86aa4,30,0.312488159,Type6
60536526c4e37914bcf86aa5,20,0.273144388,Type6
6053652fc4e37914bcf86aa6,25,0.257417818,Type7
60536535c4e37914bcf86aa7,18,0.227247497,Type7
6053653dc4e37914bcf86aa8,20,0.246436422,Type6
60536543c4e37914bcf86aa9,25,0.403894057,Type6
6053654fc4e37914bcf86aaa,18,0.122337116,Type7
60536570c4e37914bcf86aab,10,0.122337116,Type6
60536622c4e37914bcf86aae,20,0.206288637,Type6
6053662ac4e37914bcf86aaf,10,0.12010245,Type6
60536633c4e37914bcf86ab1,20,0.246436422,Type7
6053663bc4e37914bcf86ab2,40,0.402412984,Type7
60536641c4e37914bcf86ab4,10,0.12010245,Type7
60536647c4e37914bcf86ab6,50,0.402412984,Type6
6053693ec4e37914bcf86b0f,60,0.562341325,Type2
60536944c4e37914bcf86b10,60,0.562341325,Type1
6053696fc4e37914bcf86b11,70,0.681292069,Type1
60536979c4e37914bcf86b12,87,0.825404185,Type4
6053698cc4e37914bcf86b13,75,0.825404185,Type5
60536992c4e37914bcf86b14,82,0.825404185,Type2
605369a0c4e37914bcf86b15,80,0.825404185,Type2
605369a8c4e37914bcf86b16,90,0.825404185,Type2
605369b0c4e37914bcf86b17,40,0.383118685,Type5
605369bac4e37914bcf86b18,75,0.825404185,Type3
605369dac4e37914bcf86b19,82,0.825404185,Type1
605369e9c4e37914bcf86b1a,90,0.825404185,Type1
605369f2c4e37914bcf86b1b,90,0.825404185,Type5
60536a32c4e37914bcf86b1c,65,0.681292069,Type4
60536a39c4e37914bcf86b1d,45,0.681292069,Type5
60536a42c4e37914bcf86b1e,70,0.681292069,Type2
60536a4bc4e37914bcf86b1f,70,0.681292069,Type4
60536a5bc4e37914bcf86b20,80,0.825404185,Type2
60536a7ec4e37914bcf86b21,87,0.825404185,Type5
60536a8dc4e37914bcf86b22,80,0.825404185,Type3
60536a93c4e37914bcf86b23,87,0.825404185,Type4
